audit_section,audit_item,config_id,scene,seed,observed_value,audit_status,warning_status,issue_classification,notes,source_file,source_row_number,evidence_status
audit_summary,q8_other_6ghz_configs_normal,,,,true,PASS,none,,"SL-6-80, MLO-5+6-160+160, and MLO-5+6-160+320 remain usable in S3/S4.",results/wifi7_mlo_adjusted_final_issue_audit_summary.csv,15,formal_audit_summary
audit_summary,q9_likely_issue_type,,,,valid_weak_link_degradation,INFO,none,valid_weak_link_degradation,Classification based on run/channel/custom-channel consistency and peer-config comparison.,results/wifi7_mlo_adjusted_final_issue_audit_summary.csv,16,formal_audit_summary
audit_summary,result_readiness,,,,ready_with_caution,INFO,none,,Overall readiness decision for plotting/table preparation.,results/wifi7_mlo_adjusted_final_issue_audit_summary.csv,17,formal_audit_summary
sl6160_seed_audit,SL-6-160 per-seed weak-link audit,SL-6-160,S1,1,throughput_mbps=55.328;app_loss_rate=0.0689283791061,normal_reference_case,none,normal_reference_case,S1/S2 指标正常，说明 SL-6-160 创建、channel selection 和 custom channel 调用可用。,results/wifi7_mlo_adjusted_final_issue_audit_sl6160.csv,2,formal_sl6160_audit
sl6160_seed_audit,SL-6-160 per-seed weak-link audit,SL-6-160,S1,2,throughput_mbps=55.136;app_loss_rate=0.0691518098325,normal_reference_case,none,normal_reference_case,S1/S2 指标正常，说明 SL-6-160 创建、channel selection 和 custom channel 调用可用。,results/wifi7_mlo_adjusted_final_issue_audit_sl6160.csv,3,formal_sl6160_audit
sl6160_seed_audit,SL-6-160 per-seed weak-link audit,SL-6-160,S1,3,throughput_mbps=55.328;app_loss_rate=0.0689283791061,normal_reference_case,none,normal_reference_case,S1/S2 指标正常，说明 SL-6-160 创建、channel selection 和 custom channel 调用可用。,results/wifi7_mlo_adjusted_final_issue_audit_sl6160.csv,4,formal_sl6160_audit
sl6160_seed_audit,SL-6-160 per-seed weak-link audit,SL-6-160,S2,1,throughput_mbps=32.288;app_loss_rate=0.112576956904,normal_reference_case,none,normal_reference_case,S1/S2 指标正常，说明 SL-6-160 创建、channel selection 和 custom channel 调用可用。,results/wifi7_mlo_adjusted_final_issue_audit_sl6160.csv,5,formal_sl6160_audit
sl6160_seed_audit,SL-6-160 per-seed weak-link audit,SL-6-160,S2,2,throughput_mbps=28.896;app_loss_rate=0.124151309408,normal_reference_case,none,normal_reference_case,S1/S2 指标正常，说明 SL-6-160 创建、channel selection 和 custom channel 调用可用。,results/wifi7_mlo_adjusted_final_issue_audit_sl6160.csv,6,formal_sl6160_audit
sl6160_seed_audit,SL-6-160 per-seed weak-link audit,SL-6-160,S2,3,throughput_mbps=31.648;app_loss_rate=0.114592658908,normal_reference_case,none,normal_reference_case,S1/S2 指标正常，说明 SL-6-160 创建、channel selection 和 custom channel 调用可用。,results/wifi7_mlo_adjusted_final_issue_audit_sl6160.csv,7,formal_sl6160_audit
sl6160_seed_audit,SL-6-160 per-seed weak-link audit,SL-6-160,S3,1,throughput_mbps=0;app_loss_rate=1,valid_weak_link_outage_candidate,WARNING_WEAK_LINK_DEGRADATION,valid_weak_link_outage_candidate,run_status/channel/custom_channel 均正常，但长距离退化场景下全断，更像弱链路退化结果而不是代码失败。,results/wifi7_mlo_adjusted_final_issue_audit_sl6160.csv,8,formal_sl6160_audit
sl6160_seed_audit,SL-6-160 per-seed weak-link audit,SL-6-160,S3,2,throughput_mbps=0;app_loss_rate=1,valid_weak_link_outage_candidate,WARNING_WEAK_LINK_DEGRADATION,valid_weak_link_outage_candidate,run_status/channel/custom_channel 均正常，但长距离退化场景下全断，更像弱链路退化结果而不是代码失败。,results/wifi7_mlo_adjusted_final_issue_audit_sl6160.csv,9,formal_sl6160_audit
sl6160_seed_audit,SL-6-160 per-seed weak-link audit,SL-6-160,S3,3,throughput_mbps=0;app_loss_rate=1,valid_weak_link_outage_candidate,WARNING_WEAK_LINK_DEGRADATION,valid_weak_link_outage_candidate,run_status/channel/custom_channel 均正常，但长距离退化场景下全断，更像弱链路退化结果而不是代码失败。,results/wifi7_mlo_adjusted_final_issue_audit_sl6160.csv,10,formal_sl6160_audit
sl6160_seed_audit,SL-6-160 per-seed weak-link audit,SL-6-160,S4,1,throughput_mbps=0;app_loss_rate=1,valid_weak_link_outage_candidate,WARNING_WEAK_LINK_DEGRADATION,valid_weak_link_outage_candidate,run_status/channel/custom_channel 均正常，但长距离退化场景下全断，更像弱链路退化结果而不是代码失败。,results/wifi7_mlo_adjusted_final_issue_audit_sl6160.csv,11,formal_sl6160_audit
sl6160_seed_audit,SL-6-160 per-seed weak-link audit,SL-6-160,S4,2,throughput_mbps=0;app_loss_rate=1,valid_weak_link_outage_candidate,WARNING_WEAK_LINK_DEGRADATION,valid_weak_link_outage_candidate,run_status/channel/custom_channel 均正常，但长距离退化场景下全断，更像弱链路退化结果而不是代码失败。,results/wifi7_mlo_adjusted_final_issue_audit_sl6160.csv,12,formal_sl6160_audit
sl6160_seed_audit,SL-6-160 per-seed weak-link audit,SL-6-160,S4,3,throughput_mbps=0;app_loss_rate=1,valid_weak_link_outage_candidate,WARNING_WEAK_LINK_DEGRADATION,valid_weak_link_outage_candidate,run_status/channel/custom_channel 均正常，但长距离退化场景下全断，更像弱链路退化结果而不是代码失败。,results/wifi7_mlo_adjusted_final_issue_audit_sl6160.csv,13,formal_sl6160_audit
issue_log,weak_metric_extreme_loss,SL-6-160,S3,1,"Run completed, but throughput is zero or app loss is extreme.",warning,expected_warning,weak_metric_extreme_loss,Review this config/scenario before drawing conclusions.,results/wifi7_mlo_adjusted_final_experiment_issue_log.csv,2,formal_issue_log
issue_log,weak_metric_extreme_loss,SL-6-160,S3,2,"Run completed, but throughput is zero or app loss is extreme.",warning,expected_warning,weak_metric_extreme_loss,Review this config/scenario before drawing conclusions.,results/wifi7_mlo_adjusted_final_experiment_issue_log.csv,3,formal_issue_log
issue_log,weak_metric_extreme_loss,SL-6-160,S3,3,"Run completed, but throughput is zero or app loss is extreme.",warning,expected_warning,weak_metric_extreme_loss,Review this config/scenario before drawing conclusions.,results/wifi7_mlo_adjusted_final_experiment_issue_log.csv,4,formal_issue_log
issue_log,weak_metric_extreme_loss,SL-6-160,S4,1,"Run completed, but throughput is zero or app loss is extreme.",warning,expected_warning,weak_metric_extreme_loss,Review this config/scenario before drawing conclusions.,results/wifi7_mlo_adjusted_final_experiment_issue_log.csv,5,formal_issue_log
issue_log,weak_metric_extreme_loss,SL-6-160,S4,2,"Run completed, but throughput is zero or app loss is extreme.",warning,expected_warning,weak_metric_extreme_loss,Review this config/scenario before drawing conclusions.,results/wifi7_mlo_adjusted_final_experiment_issue_log.csv,6,formal_issue_log
issue_log,weak_metric_extreme_loss,SL-6-160,S4,3,"Run completed, but throughput is zero or app loss is extreme.",warning,expected_warning,weak_metric_extreme_loss,Review this config/scenario before drawing conclusions.,results/wifi7_mlo_adjusted_final_experiment_issue_log.csv,7,formal_issue_log
issue_log,config_scene_summary_weak,SL-6-160,S3,NaN,"Runs completed, but zero throughput or extreme app loss was observed.",warning,expected_warning,config_scene_summary_weak,Review weak config/scenario before final analysis.,results/wifi7_mlo_adjusted_final_experiment_issue_log.csv,8,formal_issue_log
issue_log,config_scene_summary_weak,SL-6-160,S4,NaN,"Runs completed, but zero throughput or extreme app loss was observed.",warning,expected_warning,config_scene_summary_weak,Review weak config/scenario before final analysis.,results/wifi7_mlo_adjusted_final_experiment_issue_log.csv,9,formal_issue_log
readiness_decision,SL-6-160 weak-link outage audit,,,,true,ready_for_plotting_with_warning,none,A,Treat SL-6-160 S3/S4 zero throughput as a valid weak-link result under long-distance degraded scenarios. Triggered when SL-6-160 S3/S4 outage coexists with normal run/channel/custom-channel status and peer configs remain usable.,results/wifi7_mlo_adjusted_final_result_readiness_decision.csv,2,formal_readiness_decision
readiness_decision,Channel/custom-channel abnormality check,,,,false,not_triggered,none,B,"Run targeted SL-6-160 S3/S4 diagnostic pilot before plotting. Triggered only if channel selection, actual bandwidth, or custom channel calls are abnormal.",results/wifi7_mlo_adjusted_final_result_readiness_decision.csv,3,formal_readiness_decision
readiness_decision,Final result completeness with warnings,,,,true,ready_with_caution,ready_with_caution,C,"Proceed to result visualization and table preparation, while explicitly reporting warning cases. Triggered when 96 raw / 32 summary are complete and issue_log has warnings but no errors.",results/wifi7_mlo_adjusted_final_result_readiness_decision.csv,4,formal_readiness_decision
